Date,MarketReturn,SMB,HML
Y2005M1,-2.76,-1.66,2.06
Y2005M2,1.89,-0.57,1.41
Y2005M3,-1.97,-1.41,2.07
Y2005M4,-2.61,-3.93,0.05
Y2005M5,3.65,2.86,-0.58
Y2005M6,0.57,2.56,2.8
Y2005M7,3.92,2.87,-0.78
Y2005M8,-1.22,-1.07,1.34
Y2005M9,0.49,-0.62,0.78
Y2005M10,-2.02,-1.3,0.43
Y2005M11,3.61,1.05,-1.19
Y2005M12,-0.25,-0.44,0.15
Y2006M1,3.04,5.46,0.99
Y2006M2,-0.3,-0.41,-0.31
Y2006M3,1.46,3.39,0.61
Y2006M4,0.73,-1.38,2.26
Y2006M5,-3.57,-3.01,2.38
Y2006M6,-0.35,-0.35,0.85
Y2006M7,-0.78,-3.95,2.62
Y2006M8,2.03,0.99,-1.95
Y2006M9,1.84,-1.3,0.06
Y2006M10,3.23,1.77,-0.33
Y2006M11,1.71,0.63,0.04
Y2006M12,0.87,-1.16,2.74
Y2007M1,1.4,0.09,-0.68
Y2007M2,-1.96,1.23,-0.08
Y2007M3,0.68,0.09,-0.88
Y2007M4,3.49,-2.21,-1.44
Y2007M5,3.24,0.16,-0.59
Y2007M6,-1.96,0.73,-1.05
Y2007M7,-3.73,-2.66,-3.68
Y2007M8,0.92,-0.11,-1.87
Y2007M9,3.22,-2.25,-2.17
Y2007M10,1.8,0.19,-2.87
Y2007M11,-4.83,-2.81,-1.09
Y2007M12,-0.87,0.11,-0.51
Y2008M1,-6.36,-1.02,4
Y2008M2,-3.09,-0.48,-0.72
Y2008M3,-0.93,0.71,0.31
Y2008M4,4.6,-1.69,-0.96
Y2008M5,1.86,2.97,-1.5
Y2008M6,-8.44,1.15,-2.51
Y2008M7,-0.77,2.6,5.2
Y2008M8,1.53,3.4,1.52
Y2008M9,-9.24,-1.07,5.66
Y2008M10,-17.23,-2.31,-1.89
Y2008M11,-7.86,-3.01,-6.21
Y2008M12,1.74,3.52,0.05
Y2009M1,-8.12,0.04,-11.02
Y2009M2,-10.1,0.14,-6.6
Y2009M3,8.95,-0.1,3.48
Y2009M4,10.18,5.4,5.38
Y2009M5,5.21,-2.41,0.41
Y2009M6,0.43,2.58,-2.76
Y2009M7,7.72,1.75,4.89
Y2009M8,3.33,-1.12,7.6
Y2009M9,4.08,2.43,1.15
Y2009M10,-2.59,-4.26,-4.17
Y2009M11,5.56,-2.5,-0.33
Y2009M12,2.75,6.01,-0.11
Y2010M1,-3.36,0.43,0.33
Y2010M2,3.4,1.18,3.18
Y2010M3,6.31,1.46,2.19
Y2010M4,2,4.84,2.96
Y2010M5,-7.89,0.13,-2.48
Y2010M6,-5.57,-1.79,-4.73
Y2010M7,6.93,0.22,-0.5
Y2010M8,-4.77,-3.01,-1.73
Y2010M9,9.54,3.82,-3.02
Y2010M10,3.88,1.08,-2.46
Y2010M11,0.6,3.67,-0.9
Y2010M12,6.82,0.72,3.56
Y2011M1,1.99,-2.29,0.61
Y2011M2,3.49,1.5,1.18
Y2011M3,0.46,2.49,-1.84
Y2011M4,2.9,-0.42,-2.44
Y2011M5,-1.27,-0.73,-1.85
Y2011M6,-1.75,-0.27,-0.2
